frequency,callsign,city,state,format,slogan,erp,haat
107.3,W297AF,SCRANTON,PA,Classic Rock,ROCK 107,0.25,-70.0
107.3,W297BG,ULSTER,PA,Country,"96-104-107 FM, BIGFOOT COUNTRY",0.235,143.1
107.3,W297BU,PITTSBURGH,PA,Urban Contemporary,,0.25,
107.3,W297CL,LEVITTOWN,PA,Adult Standards/Talk,,0.15,
107.3,W297CO,CARLISLE,PA,Country,COUNTRY GOLD FM,0.25,
107.5,W298CM,BRADFORD,PA,Adult Contemporary/Talk,NEWSRADIO 1490,0.25,
107.5,W298CR,MEXICO,PA,Classic Rock,99.5 THE BUS,0.21,
107.5,W298CW,BUTLER,PA,Talk,WISR 680 AM/107.5 FM,0.25,
107.5,W298DH,LATROBE,PA,Oldies,WESTMORELAND GOLD,0.25,
107.5,W298DJ,MUNCY,PA,Country,BIGFOOT COUNTRY,0.25,92.0
107.7,W299AF,CATAWISSA,PA,Contemporary Christian,WGRC CHRISTIAN RADIO,0.005,280.0
107.7,W299CM,ATHENS,PA,Adult Contemporary,VALLEY 107.7,0.25,
107.9,W300BR,DU BOIS,PA,Adult Contemporary,SUNNY 106.5,0.25,42.1
107.9,W300BT,HAZLETON,PA,Contemporary Hit Radio,B 104,0.25,
107.9,W300BX,WELLSBORO,PA,Classic Rock,THE MET,0.25,-100.1
107.9,W300BZ,READING,PA,Religious Teaching,HOPE 94.5,0.25,239.5
107.9,W300DQ,CARBONDALE,PA,Oldies,THE MOTHERSHIP,0.25,
104.1,WAEB-FM,ALLENTOWN,PA,Contemporary Hit Radio,B 104,50.0,152.0
95.9,WAKZ,SHARPSVILLE,PA,Urban Contemporary,REAL 95.9,6.0,100.0
100.1,WALY,ALTOONA,PA,Hot AC,HOT 100,3.0,291.0
106.7,WAOB-FM,BEAVER FALLS,PA,Religious Teaching,WE ARE ONE BODY 106.7,37.0,169.0
90.3,WARC,MEADVILLE,PA,Variety,,0.4,20.0
103.3,WARM-FM,YORK,PA,Adult Contemporary,WARM 103.3,6.4,398.0
101.9,WAVT-FM,POTTSVILLE,PA,Hot AC,T-102,29.0,171.0
89.5,WAWN,FRANKLIN,PA,Religious Teaching,AMERICAN FAMILY RADIO,2.0,96.0
100.9,WAYC,BEDFORD,PA,Hot AC,STAR 100.9,0.19,390.0
101.5,WAYZ,WAYNESBORO,PA,Rock,101.5 BOB ROCKS,50.0,70.0
100.3,WBBY-LP,BERWICK,PA,Religious Teaching,,0.1,-62.852604
101.1,WBEB,PHILADELPHIA,PA,Adult Contemporary,B101,14.0,287.0
95.7,WBEN-FM,PHILADELPHIA,PA,Adult Hits,95.7 BEN FM,8.9,350.0
88.1,WBGM,NEW BERLIN,PA,Contemporary Christian/Religious Teaching,,0.55,127.0
95.7,WBHD,OLYPHANT,PA,Country,CAT COUNTRY,0.6,308.0
97.1,WBHT,MOUNTAIN TOP,PA,Contemporary Hit Radio,HOT 97.1 / 95.7,0.5,336.0
95.3,WBLJ-FM,SHAMOKIN,PA,Country,BILL 95,1.25,154.0
91.7,WBMR,TELFORD,PA,Religious Teaching,,0.5,77.0
94.7,WBRX,CRESSON,PA,Adult Contemporary,MIX 94.7,0.97,242.0
100.1,WBRR,BRADFORD,PA,Rock,THE HERO 100.1,1.65,160.0
97.9,WBSX,HAZLETON,PA,Rock,97.9 X ROCKS,6.3,407.0
107.9,WBTB-LP,ERIE,PA,Religious Teaching,WINNING OTHERS TO JESUS,0.1,4.6
99.5,WBUS,CENTRE HALL,PA,Classic Rock,99.5 THE BUS,0.85,417.0
107.5,WBVE,BEDFORD,PA,Classic Rock,B-ROCK 107.5,0.37,399.0
97.5,WBWE-LP,WILKES BARRE,PA,Variety,,0.006,120.0
94.3,WBXQ,PATTON,PA,Classic Rock,Q94,2.1,167.0
94.3,WBXQ-FM1,ALTOONA,PA,Classic Rock,Q-94,0.005,
89.1,WBYH,HAWLEY,PA,Contemporary Christian,WORD FM,0.7,165.0
95.5,WBYL,SALLADASBURG,PA,Rock,ROCK 95.5,3.9,73.0
107.5,WBYN-FM,BOYERTOWN,PA,Contemporary Christian/Religious Teaching,107.5 ALIVE,30.0,186.0
88.9,WBYO,SELLERSVILLE,PA,Contemporary Christian,WORD FM,0.9,
88.7,WBYX,STROUDSBURG,PA,Contemporary Christian,WORD FM,4.0,242.0
93.3,WBZD-FM,MUNCY,PA,Classic Hits,93.3 WBZD CLASSIC HITS,1.4,390.0
100.7,WBZZ,NEW KENSINGTON,PA,Hot AC,STAR 100.7 YOUR MUSIC STATION,14.5,280.0
91.9,WCAL,CALIFORNIA,PA,Unknown,,2.5,54.0
102.3,WCAT-FM,CARLISLE,PA,Country,RED 102.3,3.0,100.0
92.7,WCCR-FM,CLARION,PA,Hot AC,POP RADIO,3.0,85.0
91.5,WCDH,SHENANDOAH,PA,Contemporary Christian,FAMILY LIFE NETWORK,1.2,219.0
91.3,WCDJ,TUNKHANNOCK,PA,Contemporary Christian,FAMILY LIFE NETWORK,0.25,349.5
90.3,WCDN-FM,RIDGEBURY,PA,Contemporary Christian,FAMILY LIFE NETWORK,4.0,160.5
90.9,WCDR,LAPORTE,PA,Contemporary Christian,FAMILY LIFE NETWORK,0.25,116.0
90.1,WCDV-FM,TROUT RUN,PA,Contemporary Christian,FAMILY LIFE NETWORK,0.35,90.0
106.5,WCFT-FM,BLOOMSBURG,PA,Country,BIGFOOT COUNTRY,10.5,313.0
100.9,WCGE,NORTH EAST TOWNSHIP,PA,,FAMILY LIFE NETWORK,4.6,236.0
106.1,WCGH,FARMINGTON TOWNSHIP,PA,Contemporary Christian,FAMILY LIFE NETWORK,3.5,133.0
89.3,WCGM,Columbus,PA,,,4.0,154.0
88.7,WCGT,CLINTONVILLE,PA,Contemporary Christian,FAMILY LIFE NETWORK,2.9,141.0
89.9,WCGV,CAMBRIDGE SPRINGS,PA,Contemporary Christian,FAMILY LIFE NETWORK,25.0,150.0
105.5,WCHX,LEWISTOWN,PA,Classic Rock,THE JUNIATA'S ROCK STATION,0.47,249.0
90.7,WCLH,WILKES-BARRE,PA,Adult Alternative,,0.205,296.0
88.5,WCOA-FM,JOHNSTOWN,PA,Religious Teaching,FAMILY RADIO,10.0,257.0
88.3,WCOB,STATE COLLEGE,PA,Contemporary Christian,FAMILY LIFE NETWORK,2.0,172.0
100.7,WCOG-FM,GALETON,PA,Contemporary Christian,FAMILY LIFE NETWORK,24.0,102.0
107.3,WCOH,DU BOIS,PA,Contemporary Christian,FAMILY LIFE NETWORK,18.5,247.0
103.9,WCOP,ELDRED,PA,Contemporary Christian,FAMILY LIFE NETWORK,1.2,224.7
96.7,WCOR-FM,Lewis Run,PA,Religious Teaching,FAMILY LIFE NETWORK,2.85,147.0
91.7,WCOZ,NEW ALBANY,PA,Religious Teaching,EWTN,1.8,124.0
90.7,WCRG,WILLIAMSPORT,PA,Contemporary Christian,WGRC CHRISTIAN RADIO,1.4,-38.0
104.9,WCSD-LP,SHAWNEE-ON-DELAWARE,PA,Religious Teaching,,0.1,26.0
106.3,WCTL,ERIE,PA,Contemporary Christian/Religious Teaching,"FAITH, FAMILY, FUN WCTL 106.3",0.86,262.1
96.1,WCTO,EASTON,PA,Country,CAT COUNTRY,43.0,160.0
91.7,WCUC-FM,CLARION,PA,Adult Alternative,,3.2,97.0
91.7,WCUR,WEST CHESTER,PA,Variety,THE CURVE,0.1,
103.7,WCXR,LEWISBURG,PA,Rock,SUSQUEHANNA VALLEY'S HOME OF ROCK & ROLL,0.95,244.0
99.5,WCYJ-FM,WAYNESBURG,PA,Hot AC,,0.007,-1.0
94.5,WDAC,LANCASTER,PA,Religious Teaching,WDAC 94.5 HOPE 94.5 HD2,19.0,247.0
105.3,WDAS-FM,PHILADELPHIA,PA,Urban AC,,16.5,266.0
106.3,WDBF-FM,MOUNT UNION,PA,Country,92.5 106.3 BIGFOOT COUNTRY,0.12,439.0
88.3,WDCV-FM,CARLISLE,PA,Variety,88.3 THE VOICE OF DICKINSON COLLEGE,0.45,-13.0
97.5,WDDH,ST. MARYS,PA,Country,THE HOUND 97.5,19.5,244.0
88.1,WDIY,ALLENTOWN,PA,Variety/News/Talk,LEHIGH VALLEY COMMUNITY PUBLIC RADIO,0.3,
101.5,WDKC,COVINGTON,PA,Country,KC-101.5,1.9,181.0
95.3,WDNH-FM,HONESDALE,PA,Contemporary Hit Radio,95.3 THE RAIL,1.65,139.0
106.5,WDSN,REYNOLDSVILLE,PA,Adult Contemporary,SUNNY 106.5,6.0,100.0
107.9,WDSY-FM,PITTSBURGH,PA,Country,Y-108 PITTSBURGH,17.5,252.0
102.5,WDVE,PITTSBURGH,PA,Rock,WDVE ROCKS,55.0,250.0
103.7,WEEO-FM,MCCONNELLSBURG,PA,Talk,FM TALK 103.7,0.135,474.0
88.1,WEFR,ERIE,PA,Religious Teaching,FAMILY RADIO,0.63,131.0
107.3,WEGH,NORTHUMBERLAND,PA,Classic Hits,THE CLASSIC HITS STATION,0.9,257.0
104.7,WEJO-LP,STATE COLLEGE,PA,Religious Teaching,,0.1,-11.293289
92.7,WEMR-LP,CHAMBERSBURG,PA,Variety,,0.1,25.0
92.7,WENI-FM,SOUTH WAVERLY,PA,Classic Rock,THE MET,1.25,221.0
90.5,WERG,ERIE,PA,Rock,90.5 WERG,2.75,114.0
102.7,WERI,WATTSBURG,PA,Classic Hits,LECOM RADIO 88.5,3.5,132.0
90.5,WESA,PITTSBURGH,PA,News/Talk,PITTSBURGH`S NPR NEWS STATION,25.0,146.0
90.3,WESS,EAST STROUDSBURG,PA,Variety,ESU'S RADIO STATION 90.3,1.0,-42.0
99.1,WEVB-LP,HAZLETON,PA,Religious,,0.012,88.0
90.9,WEVW,ELYSBURG,PA,Religious,GREAT SONGS OF THE FAITH,0.23,283.0
106.9,WEZX,SCRANTON,PA,Classic Rock,ROCK 107,1.45,188.0
90.5,WFBA,KULPMONT,PA,Southern Gospel,,1.0,182.0
90.5,WFBM,BEAVER SPRINGS,PA,Southern Gospel,,0.07,380.0
90.1,WFBV,SELINSGROVE,PA,Southern Gospel,,1.45,106.0
101.1,WFGE,STATE COLLEGE,PA,Country,BIG FROGGY 101,8.5,357.0
95.5,WFGI-FM,JOHNSTOWN,PA,Country,FROGGY 95,57.0,323.0
98.1,WFGY,ALTOONA,PA,Country,FROGGY,30.0,287.0
89.1,WFNM,LANCASTER,PA,Adult Alternative,,0.1,46.0
88.9,WFSE,EDINBORO,PA,Adult Alternative,88.9 FIGHTING SCOTS RADIO,3.0,91.0
105.1,WFSH-FM,SHEFFIELD,PA,Contemporary Christian,K-LOVE,6.0,72.0
103.7,WFSJ-LP,INDIANA,PA,Religious,1037 THE SWITCH,0.052,41.0
100.1,WFVY,LEBANON,PA,Country,FROGGY VALLEY 100.1,1.85,182.0
92.9,WGGT-LP,PHILADELPHIA,PA,Variety,,0.015,77.0
101.3,WGGY,SCRANTON,PA,Country,FROGGY 101,7.0,365.0
101.3,WGGY-FM1,HONESDALE,PA,Country,FROGGY 101,0.02,
101.3,WGGY-FM2,EAST STROUDSBURG,PA,Country,FROGGY 101,0.002,
101.3,WGGY-FM3,HAZLETON,PA,Country,FROGGY 101,0.014,
97.1,WGJC,UNIVERSITY PARK,PA,Contemporary Christian,WGRC CHRISTIAN RADIO,2.0,123.0
91.3,WGRC,LEWISBURG,PA,Contemporary Christian,WGRC CHRISTIAN RADIO,3.0,98.0
107.7,WGTY,GETTYSBURG,PA,Country,FROGGY 107.7,16.0,259.0
98.5,WGYI,OIL CITY,PA,Country,FROGGY 98.5 & 100.3,20.0,91.0
100.3,WGYY,MEADVILLE,PA,Country,FROGGY 98.5 & 100.3,20.0,179.0
93.1,WHBI-LP,GRANTVILLE,PA,Variety,,0.004,148.0
89.1,WHYU-FM,MEYERSDALE,PA,,,1.6,24.0
100.3,WHGL-FM,CANTON,PA,Country,WIGGLE 100,3.6,265.0
88.1,WHHN,HOLLIDAYSBURG,PA,Religious Teaching,RADIO MARIA,0.85,412.1
99.9,WHHS,HAVERTOWN,PA,Adult Alternative,,0.0095,49.0
106.5,WHII-LP,WARMINSTER,PA,Ethnic,RADIO PHILADELPHIA,0.016,75.0
107.1,WHJB,GREENSBURG,PA,Classic Hits,CLASSIC HITS 107.1,2.3,163.0
99.3,WHKF,HARRISBURG,PA,Urban Contemporary,REAL 99.3,1.35,207.0
94.9,WHKS,PORT ALLEGANY,PA,Adult Contemporary,K 94,1.15,231.0
99.3,WHMJ,FRANKLIN,PA,Classic Hits,WUZZ RADIO,7.3,183.0
107.3,WHMN-LP,PLYMOUTH,PA,Religious Teaching,,0.01,95.0
92.3,WHNA,RIVERSIDE,PA,Classic Hits,HANNA 92.3 & 106.1,0.93,254.0
91.1,WHSK,BLOOMSBURG,PA,Variety,THE HUSKY,0.6,-22.0
103.5,WHUN-FM,HUNTINGDON,PA,Classic Hits,WOWY 97.1 97.7 103.5,0.15,441.0
98.9,WHYP-LP,CORRY,PA,Adult Alternative,CORRY`S RADIO ALTERNATIVE,0.1,17.0
90.9,WHYY-FM,PHILADELPHIA,PA,News/Talk,WHYY,13.5,280.0
92.5,WIBF,MEXICO,PA,Country,92.5 106.3 BIGFOOT COUNTRY,0.31,433.0
92.7,WICU-FM,LAWRENCE PARK,PA,Hot AC,HAPPI 927,6.0,3.0
102.1,WIFT,DU BOIS,PA,Country,BIGFOOT COUNTRY,28.0,202.0
92.1,WIKG,MERCERSBURG,PA,Rock,BOB ROCKS,4.0,90.0
95.1,WIKZ,CHAMBERSBURG,PA,Hot AC,MIX 95.1,50.0,137.0
103.1,WILK-FM,AVOCA,PA,News/Talk,THE WILK NETWORK,6.0,22.0
105.1,WILQ,WILLIAMSPORT,PA,Country,MORE CONTINUOUS COUNTRY FAVORITES,6.8,390.0
102.1,WIOQ,PHILADELPHIA,PA,Contemporary Hit Radio,Q-102,27.0,204.0
105.1,WIOV-FM,EPHRATA,PA,Country,THE BIG I 105,25.0,214.0
94.1,WIP-FM,PHILADELPHIA,PA,Sports,SPORTS RADIO 94WIP,9.6,338.0
89.5,WITF-FM,HARRISBURG,PA,News/Talk,LIVE INSPIRED,5.9,415.0
90.1,WIUP-FM,INDIANA,PA,Variety,YOUR ALTERNATIVE SOURCE,1.5,27.0
91.7,WIXQ,MILLERSVILLE,PA,Variety,THE VILLE 91.7 FM,0.1,15.0
91.7,WJAZ,SUMMERDALE,PA,Classical/Jazz,TEMPLE UNIVERSITY PUBLIC RADIO,1.0,214.0
89.3,WJCS,ALLENTOWN,PA,Religious Teaching,YOUR STATION FOR INSPIRATION,0.12,279.0
92.1,WJHT,JOHNSTOWN,PA,Hot AC,POP! 104.5,0.58,318.0
100.5,WJNG,JOHNSONBURG,PA,Classic Rock,MEGA ROCK,1.3,203.0
93.3,WJOB-FM,SUSQUEHANNA,PA,Urban Contemporary,,1.9,170.0
95.3,WJPA-FM,WASHINGTON,PA,Classic Hits,GREATEST HITS WJPA,2.15,119.0
90.9,WJRC,LEWISTOWN,PA,Contemporary Christian,WGRC CHRISTIAN RADIO,0.094,394.0
104.9,WJRH,EASTON,PA,Adult Alternative,LAFAYETTE COLLEGE RADIO,0.008,7.0
96.3,WJSA-FM,JERSEY SHORE,PA,Contemporary Christian/Religious Teaching,LIGHT FOR LIFE...WJSA!,2.65,306.0
92.7,WJSM-FM,MARTINSBURG,PA,Religious Teaching,HEAVEN 92.7,1.9,180.0
90.3,WJTL,LANCASTER,PA,Contemporary Christian,,12.0,141.0
90.3,WJVM,BELLEFONTE,PA,Religious Teaching,VOICE OF DIVINE MERCY,1.95,365.0
98.5,WJYN-LP,NORTH PHILADELPHIA,PA,Variety,,0.1,26.906477
93.9,WKBI-FM,ST. MARYS,PA,Hot AC,B 94,2.35,244.0
95.9,WKBP,BENTON,PA,Contemporary Christian,K-LOVE,4.2,117.0
103.5,WKCV-LP,LA PLUME,PA,Variety,,0.1,8.316521
91.7,WKDU,PHILADELPHIA,PA,Adult Alternative,WKDU PHILADELPHIA 91.7,0.8,47.0
101.3,WKFT,STRATTANVILLE,PA,Country,BIGFOOT LEGENDS,4.3,115.0
88.1,WKGO,MURRYSVILLE,PA,Easy Listening,,1.0,92.0
92.1,WKHL,PALMYRA,PA,Contemporary Christian,K-LOVE,1.5,183.2
88.5,WKHW,HALIFAX,PA,Contemporary Christian,K-LOVE,1.4,108.0
107.9,WKPA,PORT MATILDA,PA,Contemporary Christian,K-LOVE,0.45,358.0
92.1,WKPL,ELLWOOD CITY,PA,Classic Hits,THE PICKLE,2.5,156.0
90.7,WKPS,STATE COLLEGE,PA,Variety,THE LION 90.7 FM,0.1,26.0
103.3,WKQL,BROOKVILLE,PA,Classic Hits,KOOL 103.3,10.5,151.0
107.9,WKRF,TOBYHANNA,PA,Contemporary Hit Radio,98.5 KRZ,0.83,267.7
98.5,WKRZ,FREELAND,PA,Contemporary Hit Radio,98.5 KRZ,8.7,357.0
102.7,WKSB,WILLIAMSPORT,PA,Hot AC,KISS FM,53.0,387.0
96.1,WKST-FM,PITTSBURGH,PA,Contemporary Hit Radio,KISS FM,44.0,159.0
107.1,WKTW-LP,LENHARTSVILLE,PA,Variety,,0.1,21.2
103.1,WKVE,MOUNT PLEASANT,PA,Classic Rock,103.1 KVE,4.4,244.0
88.1,WKWP,WILLIAMSPORT,PA,Contemporary Christian,K-LOVE,0.55,27.0
96.5,WKYE,JOHNSTOWN,PA,Hot AC,96-KEY,50.0,149.0
96.9,WLAN-FM,LANCASTER,PA,Contemporary Hit Radio,FM 97 WLAN,50.0,152.0
91.7,WLBS,BRISTOL,PA,Adult Standards,RADIO DELAWARE VALLEY,0.1,
106.3,WLCY,BLAIRSVILLE,PA,Country,COUNTRY 106.3,2.4,111.0
107.5,WLDJ-LP,NEW CASTLE,PA,Variety,,0.095,31.0
93.1,WLEB-LP,LEBANON,PA,Religious Teaching,,0.1,20.34901
97.7,WLER-FM,BUTLER,PA,Rock,THE ROCK STATION 97.7,4.6,114.0
100.7,WLEV,ALLENTOWN,PA,Adult Contemporary,100.7 WLEV,9.9,329.0
107.7,WLGD,DALLAS,PA,Classic Rock,ROCK 107,2.35,162.0
90.3,WLHI,SCHNECKSVILLE,PA,Contemporary Christian,WORD FM,0.42,70.0
96.9,WLIH,WHITNEYVILLE,PA,,,3.7,83.0
88.3,WLKA,TAFTON,PA,Contemporary Christian,K-LOVE,1.1,251.0
93.5,WLKE,GALLITZIN,PA,Contemporary Christian,K-LOVE,1.25,221.5
97.7,WLKH,SOMERSET,PA,Contemporary Christian,K-LOVE,3.5,131.0
105.7,WLKJ,PORTAGE,PA,Contemporary Christian,K-LOVE,3.0,98.0
105.7,WLKJ-FM1,JOHNSTOWN,PA,Contemporary Christian,K-LOVE,0.342,
96.7,WLLF,MERCER,PA,Sports,SPORTS RADIO 96.7,1.4,148.0
96.3,WLOQ,OIL CITY,PA,Contemporary Christian,K-LOVE,6.0,99.0
103.9,WLSW,UNIONTOWN,PA,Adult Hits,103.9 KHB,2.7,243.0
92.9,WLTJ,PITTSBURGH,PA,Hot AC,Q 92.9,43.0,260.0
91.3,WLVR-FM,BETHLEHEM,PA,News/Talk,YOUR LOCAL NPR NEWS SOURCE 91.3,0.22,170.0
107.1,WLVX,GREENVILLE,PA,Contemporary Christian,K-LOVE,2.1,119.0
88.5,WMCE-FM,ERIE,PA,Classic Hits,LECOM RADIO 88.5,0.75,152.0
107.7,WMES-LP,ALTOONA,PA,Religious Teaching,THE MESSENGER,0.1,-55.0
105.5,WMGH-FM,TAMAQUA,PA,Adult Contemporary,MAGIC 105.5,1.4,148.0
102.9,WMGK,PHILADELPHIA,PA,Classic Rock,PHILADELPHIA'S CLASSIC ROCK MGK,8.9,350.0
92.9,WMGS,WILKES-BARRE,PA,Adult Contemporary,CONTINUOUS SOFT ROCK MAGIC 93,5.3,422.0
105.5,WMKX,BROOKVILLE,PA,Classic Rock,MEGA ROCK,16.0,126.0
91.9,WMMH,HOUTZDALE,PA,Religious Teaching,JMJ 750 AM,0.61,310.7
93.3,WMMR,PHILADELPHIA,PA,Rock,EVERYTHING THAT ROCKS,16.5,264.0
103.5,WMMZ,BERWICK,PA,Classic Hits,THE RIVER 105 & 103.5,1.05,239.0
95.7,WMRF-FM,LEWISTOWN,PA,Hot AC,MERF RADIO,0.31,433.0
91.1,WMSS,MIDDLETOWN,PA,Adult Alternative,SUPER 91,5.5,17.0
94.7,WMTT-FM,TIOGA,PA,Classic Rock,THE MET,12.0,147.0
105.1,WMUG-LP,INDIANA,PA,Religious Teaching,,0.012,86.0
91.7,WMUH,ALLENTOWN,PA,Variety,ONLY STATION THAT MATTER,0.44,-1.0
101.7,WMVL,LINESVILLE,PA,Classic Hits,COOL 101.7,1.4,169.0
104.3,WNAE,CLARENDON,PA,Country,KINZUA COUNTRY 104,4.7,113.0
104.5,WNBT-FM,WELLSBORO,PA,Country,"96-104-107 FM, BIGFOOT COUNTRY",50.0,128.0
91.7,WNJR,WASHINGTON,PA,Variety,91.7 WNJR,0.4,123.0
103.5,WNKV,BURGETTSTOWN,PA,Contemporary Christian,K-LOVE,19.5,247.0
94.5,WNLI,STATE COLLEGE,PA,Contemporary Christian,AIR1,1.9,179.0
106.1,WNNA,BEAVER SPRINGS,PA,Classic Hits,HANNA 92.3 & 106.1,0.175,400.0
104.1,WNNK-FM,HARRISBURG,PA,Hot AC,WINK 104,22.5,221.0
89.5,WNTE,MANSFIELD,PA,Variety,THE GIANT 89.5,0.115,-85.0
98.5,WNUW-LP,ASTON,PA,Rock,,0.018,69.1
92.9,WNUZ-LP,GAP,PA,News/Talk,,0.1,1.0
99.9,WODE-FM,EASTON,PA,Classic Hits,99 NINE THE HAWK,50.0,137.0
92.3,WOGA,MANSFIELD,PA,Classic Hits,WOGA 92.3 - 93.1 - 93.5 FM,1.6,196.0
94.9,WOGG,OLIVER,PA,Country,FROGGY 94.9/104.3,1.95,351.0
104.3,WOGI,MOON TOWNSHIP,PA,Country,FROGGY 94.9/104.3,13.0,219.0
98.1,WOGL,PHILADELPHIA,PA,Classic Hits,BIG 98.1,9.6,338.0
102.9,WOKW,CURWENSVILLE,PA,Adult Contemporary,OK 102.9,0.35,288.0
98.9,WOLR-LP,WILLIAMSPORT,PA,Religious Teaching,,0.1,-44.700645
92.9,WOOM-LP,PHILADELPHIA,PA,Variety,SOUTH PHILADELPHIA COMMUNITY RADIO,0.1,11.63946
101.5,WORD-FM,PITTSBURGH,PA,Religious Teaching/Southern Gospel,WORD FM,43.0,163.0
107.9,WOTH,WILLIAMSPORT,PA,Contemporary Hit Radio,HOT 107.9,3.4,135.0
101.7,WOWQ,CENTRAL CITY,PA,Oldies,WOWY RADIO,0.72,196.0
103.1,WOWY,STATE COLLEGE,PA,Classic Hits,WOWY 97.9 103.1 103.5,0.37,398.0
90.7,WPAI,NANTY GLO,PA,Contemporary Christian,AIR1,2.1,
103.9,WPAL,DUSHORE,PA,Country,PAL FM,0.89,260.0
93.1,WPQP,CLEARFIELD,PA,Contemporary Hit Radio,POP 93.1 AND 95.9,1.7,287.0
91.5,WPAU,PALMYRA TOWNSHIP,PA,Classical/News/Talk,WVIA PUBLIC RADIO,0.4,167.0
97.3,WPCL,SPANGLER,PA,Religious Teaching,WAY TRUTH LIFE RADIO,1.75,186.0
88.1,WPEB,PHILADELPHIA,PA,Variety,,0.01,
96.5,WPEL-FM,MONTROSE,PA,Religious Teaching,YOUR STATION FOR INFORMATION & INSPIRATION,57.0,140.0
91.3,WPFG,CARLISLE,PA,Religious Teaching,THE BRIDGE 91.3 FM & 93.1 FM,2.15,247.0
91.3,WPFG-FM1,LANDISBURG,PA,Religious Teaching,THE BRIDGE 91.3 FM & 93.1 FM,0.24,
104.7,WPGB,PITTSBURGH,PA,Country,BIG 104.7,14.5,232.0
96.7,WPGM-FM,DANVILLE,PA,Contemporary Christian/Religious Teaching,,0.57,233.0
103.9,WPHI-FM,JENKINTOWN,PA,News,KYW NEWSRADIO 103.9 FM,0.27,338.0
99.3,WPKL,UNIONTOWN,PA,Classic Hits,THE PICKLE,3.0,90.0
98.3,WPKV,DUQUESNE,PA,Contemporary Christian,K-LOVE,3.7,246.0
89.3,WPMN,SAXTON,PA,,,1.4,302.0
89.5,WPMU,DUBOIS,PA,Religious Teaching,WAY TRUTH LIFE RADIO,6.0,177.0
106.5,WPPM-LP,PHILADELPHIA,PA,Variety,,0.09,19.92342
91.5,WPSU,STATE COLLEGE,PA,News/Classical,PUBLIC RADIO FOR CENTRAL AND NORTHERN PENNSYLVANIA,1.7,365.0
90.1,WPSX,KANE,PA,News/Talk/Classical,PUBLIC RADIO FOR CENTRAL AND NORTHERN PENNSYLVANIA,17.0,232.0
92.1,WPTS-FM,PITTSBURGH,PA,Variety,PITTSBURGH'S PROGRESSIVE FM,0.016,141.0
104.1,WPXZ-FM,PUNXSUTAWNEY,PA,Hot AC,ALL HITS 104.1 FM,3.3,91.0
105.9,WPZX,POCONO PINES,PA,Classic Rock,ROCK 107,5.0,103.0
100.5,WQBG,Carroll Township,PA,Country,BIGFOOT COUNTRY,1.1,232.0
99.9,WQBR,AVIS,PA,Country/Americana,BEAR COUNTRY RADIO 99.9,0.57,321.0
94.3,WQCM,GREENCASTLE,PA,Classic Rock,CLASSIC ROCK 94.3 WQCM,3.5,131.0
89.3,WQED-FM,PITTSBURGH,PA,Classical/News,WQED CHANGES LIVES,28.0,199.0
89.7,WQEJ,JOHNSTOWN,PA,Classical,WQED CHANGES LIVES,8.4,361.0
98.5,WQEW-LP,PHILADELPHIA,PA,Ethnic,,0.077,34.102184
92.1,WQFM,NANTICOKE,PA,Classic Hits,92 MIX FM,0.66,303.0
100.1,WQFN,FOREST CITY,PA,Classic Hits,92 MIX FM,6.0,97.0
103.1,WQFX-FM,RUSSELL,PA,Classic Rock,ROCK 103,2.5,107.0
88.3,WQHE,OIL CITY,PA,Religious Teaching,STATION OF THE CROSS,3.6,105.1
102.3,WQHZ,ERIE,PA,Classic Rock,Z-102.3,1.7,187.0
107.1,WQJU,MIFFLINTOWN,PA,Religious Teaching,WAY TRUTH LIFE RADIO,0.37,397.0
94.1,WQKX,ELIZABETHVILLE,PA,Hot AC,94 KX,16.0,268.0
98.9,WQKY,EMPORIUM,PA,Classic Hits,THE RIVER 98.9,2.0,167.0
91.3,WQLN-FM,ERIE,PA,News/Talk/Classical,Q-91.3,35.0,152.0
98.9,WQLV,MILLERSBURG,PA,Hot AC,98.9 THE PULSE,0.78,273.0
92.5,WQMU,INDIANA,PA,Hot AC,U 92,3.0,100.0
90.5,WQOR,LACEYVILLE,PA,Religious Teaching,JMJ 750 AM,0.32,71.5
95.9,WQQP,SYKESVILLE,PA,Contemporary Hit Radio,POP 93.1 AND 95.9,1.5,196.0
88.9,WQSU,SELINSGROVE,PA,Adult Alternative,THE PULSE,10.5,203.4
103.9,WQWY,BELLWOOD,PA,Oldies,WOWY,0.38,280.0
105.7,WQXA-FM,YORK,PA,Rock,105.7 THE X,25.0,215.0
98.3,WRBG,MIFFLINBURG,PA,Country,BIGFOOT COUNTRY,1.4,147.0
94.9,WRBT,HARRISBURG,PA,Country,BOB 94-9,25.0,213.0
88.3,WRCT,PITTSBURGH,PA,Adult Alternative,,1.75,22.0
89.3,WRDV,WARMINSTER,PA,Adult Standards,RADIO DELAWARE VALLEY,1.6,36.0
104.5,WRFF,PHILADELPHIA,PA,Rock,ALT 104.5,11.5,308.0
102.5,WRFY-FM,READING,PA,Adult Hits,Y-102 ROCK HITS,10.0,246.0
93.7,WRGG-LP,GREENCASTLE,PA,Classic Hits,WRGG - WE ARE GA,0.009,98.0
88.1,WRGN,SWEET VALLEY,PA,Contemporary Christian/Religious Teaching,GOOD NEWS 88,0.5,92.0
92.9,WRGU-LP,PHILADELPHIA,PA,Variety,,0.015,77.0
