frequency,callsign,city,state,format,slogan,erp,haat
93.9,W230BM,WELLSBORO,PA,Contemporary Christian,FAMILY LIFE NETWORK,0.04,
93.9,W230CC,ALTOONA,PA,Religious Teaching,WAY TRUTH LIFE RADIO,0.01,393.9
93.9,W230CQ,YORK,PA,Talk,NEWSTALK 93.9,0.25,
93.9,W230DI,CLARKS SUMMIT,PA,Classic Hits,GEM 99 & 100,0.223,238.4
94.1,W231BM,PITTSBURGH,PA,Talk/Oldies,620 KHB,0.2,
94.1,W231DR,CLARION,PA,Country,BIGFOOT LEGENDS,0.25,
94.1,W231DW,CORRY,PA,Country,KICKIN` COUNTRY 1370,0.25,
94.1,W231EB,KINGSTON,PA,Sports,ESPN RADIO,0.127,
94.3,W232AM,STROUDSBURG,PA,Classical/News/Talk,WVIA PUBLIC RADIO,0.25,-56.5
94.5,W233BC,ASHLAND,PA,Contemporary Christian,WORD FM,0.01,
94.5,W233BS,ST. MARYS,PA,Adult Standards,CLASSY 1400 AND 94.5,0.25,235.3
94.5,W233CP,MILTON,PA,,,0.24,
94.7,W234AX,ALLENTOWN,PA,Sports,FOX SPORTS LEHIGH VALLEY,0.01,204.9
94.7,W234BH,Berwick,PA,Hot AC,POP RADIO,0.23,
94.7,W234CY,PITTSTON,PA,Religious Teaching,RADIO THAT CHANGES THE WAY YOU LIVE,0.2,
94.9,W235AA,WILKES-BARRE,PA,Classical/Jazz,TEMPLE UNIVERSITY PUBLIC RADIO,0.01,286.8
94.9,W235AD,POTTSVILLE,PA,Classical/News/Talk,WVIA PUBLIC RADIO,0.12,91.0
94.9,W235AP,RADNOR,PA,Contemporary Christian,WORD FM,0.002,
94.9,W235AT,COATESVILLE,PA,Religious Teaching,HOPE FM,0.004,
94.9,W235CE,PHILADELPHIA,PA,Religious Teaching,HOPE FM,0.074,
94.9,W235DC,DICKSON CITY,PA,Tropical,HOLA RADIO,0.25,222.7
95.1,W236CL,PHILADELPHIA,PA,Variety,,0.007,
95.3,W237DC,NEW HOLLAND,PA,Religious Teaching,HOPE FM,0.25,
95.3,W237DE,HARRISBURG,PA,Sports,SPORTS RADIO 96.5 FM | 95.3 FM | 1400 AM,0.25,
95.3,W237DP,MOUNTAIN TOP,PA,Classic Hits,GEM 99 & 100,0.099,262.5
95.3,W237EN,HANOVER,PA,Hot AC,HAPPY 92.7,0.25,
95.3,W237EW,WEST CHESTER,PA,Talk/Oldies,,0.24,
95.5,W238BD,TITUSVILLE,PA,Contemporary Christian,FAMILY LIFE NETWORK,0.25,-62.3
95.7,W239CE,SELINSGROVE,PA,Classical/News/Talk,WVIA PUBLIC RADIO,0.019,
95.7,W239CR,AMBRIDGE,PA,,,0.25,
96.1,W241AZ,SCRANTON,PA,Rock,FUZZ 96.1,0.08,228.5
96.1,W241BB,WILKES-BARRE,PA,Rock,FUZZ 96.1,0.034,251.8
96.1,W241CH,PHILADELPHIA,PA,Talk,WURD 96.1 FM - 900 AM,0.25,
96.1,W241CQ,ALTOONA,PA,Country,96.1 HANK-FM,0.25,
96.3,W242BY,CHAMBERSBURG,PA,Hot AC,POP RADIO,0.25,106.3
96.3,W242CU,ERIE,PA,Country,ERIE COUNTRY 97.9,0.173,
96.3,W242CY,BERWICK,PA,Hot AC,POP RADIO,0.25,
96.5,W243BR,HARRISBURG,PA,Sports,SPORTS RADIO 96.5 FM | 95.3 FM | 1400 AM,0.2,
96.5,W243BW,PITTSBURGH,PA,Religious Teaching,WPIT 96.5 FM-730 AM,0.25,
96.5,W243DS,COLUMBIA,PA,Religious,RADIO VISION CRISTIANA,0.05,
96.5,W243EB,COUDERSPORT,PA,Adult Standards,AMERICA'S BEST MUSIC,0.03,
96.7,W244CH,ROCKTON,PA,Talk/Sports,CONNECT FM,0.18,88.3
96.7,W244DX,ERIE,PA,Talk,ERIE'S NEWS TALK STATION - JET RADIO 1400,0.25,
96.7,W244DY,WARREN,PA,Hot AC,HAPPI 927,0.22,
96.9,W245AG,GLENSIDE,PA,Urban Gospel,REACH RADIO GOSPEL,0.019,111.7
96.9,W245CZ,ALTOONA,PA,Classic Hits,96.9 & 100.7 CLASSIC FAVORITES,0.25,
96.9,W245DB,LOCK HAVEN,PA,Oldies,AM 1230/FM 96.9 FM,0.25,
97.1,W246AA,"ALLENTOWN, ETC.",PA,Classical/Jazz,TEMPLE UNIVERSITY PUBLIC RADIO,0.01,166.1
97.1,W246AL,WELLSBORO,PA,Country,KC-101,0.25,
